packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,9270.0,2517.0,840.0,4451.0,1321.0,49.0,13.0,79.0,20.0,9273.0,9293.0,38.0,965.0,317.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,9228.0,2550.0,868.0,4459.0,1249.0,47.0,10.0,45.0,27.0,9233.0,9261.0,38.0,927.0,283.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,8154.0,2388.0,296.0,4424.0,943.0,41.0,11.0,51.0,22.0,8157.0,8179.0,38.0,751.0,152.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,8226.0,2371.0,295.0,4492.0,961.0,42.0,12.0,53.0,27.0,8229.0,8257.0,43.0,762.0,154.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,8154.0,2399.0,296.0,4386.0,968.0,42.0,11.0,52.0,28.0,8158.0,8186.0,40.0,774.0,153.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,8248.0,2408.0,299.0,4469.0,968.0,41.0,19.0,44.0,24.0,8252.0,8277.0,38.0,776.0,152.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,8136.0,2384.0,300.0,4395.0,955.0,41.0,16.0,45.0,28.0,8139.0,8168.0,39.0,761.0,154.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,12172.0,3820.0,327.0,6839.0,1061.0,41.0,11.0,73.0,26.0,12175.0,12202.0,54.0,855.0,150.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,8069.0,2397.0,303.0,4338.0,927.0,40.0,11.0,53.0,24.0,8072.0,8096.0,39.0,736.0,150.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,10894.0,4977.0,309.0,4509.0,992.0,42.0,11.0,54.0,34.0,10898.0,10932.0,42.0,796.0,153.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,8285.0,2381.0,300.0,4447.0,1042.0,41.0,11.0,63.0,28.0,8289.0,8318.0,41.0,843.0,155.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,8059.0,2252.0,299.0,4447.0,947.0,41.0,11.0,62.0,28.0,8063.0,8091.0,39.0,754.0,152.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,8352.0,2452.0,302.0,4509.0,969.0,42.0,30.0,48.0,27.0,8354.0,8381.0,43.0,753.0,171.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,8496.0,2497.0,309.0,4585.0,967.0,44.0,31.0,63.0,36.0,8499.0,8536.0,41.0,769.0,155.0
