packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,8356.0,1638.0,850.0,4433.0,1328.0,50.0,12.0,45.0,22.0,8361.0,8383.0,44.0,993.0,289.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,8426.0,1610.0,841.0,4542.0,1328.0,49.0,12.0,44.0,28.0,8429.0,8457.0,42.0,950.0,333.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,7403.0,1502.0,309.0,4466.0,1018.0,41.0,12.0,55.0,25.0,7407.0,7433.0,38.0,825.0,153.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,7361.0,1535.0,308.0,4459.0,953.0,41.0,12.0,53.0,27.0,7366.0,7393.0,40.0,757.0,154.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,7919.0,1607.0,302.0,4716.0,1186.0,42.0,11.0,55.0,55.0,7924.0,7979.0,46.0,975.0,163.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,12180.0,2028.0,2415.0,6638.0,993.0,41.0,20.0,45.0,27.0,12184.0,12211.0,56.0,782.0,154.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,7430.0,1504.0,341.0,4519.0,957.0,41.0,21.0,47.0,29.0,7434.0,7464.0,48.0,755.0,153.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,7353.0,1497.0,313.0,4461.0,975.0,41.0,12.0,54.0,32.0,7357.0,7389.0,44.0,777.0,153.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,7509.0,1490.0,323.0,4611.0,978.0,42.0,11.0,54.0,24.0,7514.0,7539.0,45.0,778.0,154.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,8102.0,1535.0,338.0,5119.0,1004.0,42.0,12.0,52.0,24.0,8106.0,8130.0,45.0,776.0,180.0
