packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,31936.0,24661.0,849.0,4371.0,1918.0,76.0,14.0,47.0,23.0,31940.0,31964.0,42.0,1387.0,487.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,29732.0,23000.0,862.0,4446.0,1258.0,48.0,48.0,70.0,37.0,29735.0,29772.0,38.0,940.0,278.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,24579.0,18780.0,298.0,4443.0,950.0,41.0,18.0,49.0,22.0,24583.0,24606.0,39.0,757.0,152.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,34104.0,28340.0,302.0,4378.0,975.0,41.0,13.0,55.0,59.0,34107.0,34166.0,41.0,773.0,160.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,25274.0,19301.0,302.0,4577.0,983.0,46.0,20.0,45.0,30.0,25276.0,25307.0,40.0,785.0,156.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,25669.0,19815.0,300.0,4453.0,993.0,42.0,11.0,55.0,706.0,25672.0,26379.0,40.0,783.0,168.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,24961.0,18844.0,336.0,4702.0,977.0,41.0,10.0,51.0,26.0,24964.0,24991.0,45.0,778.0,153.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,25683.0,18914.0,859.0,4536.0,1271.0,47.0,11.0,45.0,29.0,25688.0,25717.0,41.0,942.0,287.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,24910.0,18847.0,300.0,4531.0,1125.0,45.0,11.0,51.0,20.0,24913.0,24934.0,42.0,911.0,170.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,26097.0,19436.0,866.0,4419.0,1267.0,50.0,12.0,47.0,46.0,26100.0,26146.0,39.0,955.0,272.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,24642.0,18854.0,308.0,4366.0,1010.0,40.0,11.0,53.0,35.0,24646.0,24681.0,37.0,817.0,154.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,24117.0,18263.0,291.0,4495.0,966.0,40.0,11.0,51.0,508.0,24121.0,24630.0,43.0,765.0,156.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,36110.0,28290.0,319.0,5316.0,2073.0,40.0,16.0,56.0,28.0,36114.0,36143.0,39.0,1881.0,150.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,25092.0,19065.0,421.0,4457.0,1044.0,41.0,19.0,45.0,30.0,25095.0,25125.0,43.0,758.0,241.0
14,success,True,74687008,74686588,74645963,0.28364357352256775,64,1707.8094080631647,40,24,74712407,74752031,0.8174945712089539,0.9496483206748962,32512,54,False,54,41252.0,27553.0,305.0,12277.0,1004.0,42.0,18.0,53.0,36.0,41255.0,41291.0,47.0,793.0,163.0
15,success,True,79679047,79678588,79637963,0.30411824584007263,64,2042.9544437384416,40,24,79704446,79744070,0.887606680393219,0.9496607780456543,32512,54,False,54,25038.0,19039.0,330.0,4594.0,967.0,41.0,18.0,49.0,29.0,25041.0,25071.0,41.0,767.0,157.0
16,success,True,84671095,84670588,84629963,0.31989043951034546,64,1946.3936235553963,40,24,84696494,84736118,0.9041464328765869,0.9497926235198975,32512,54,False,54,25048.0,19070.0,309.0,4527.0,1025.0,41.0,11.0,65.0,25.0,25053.0,25078.0,44.0,826.0,153.0
17,success,True,89663161,89662588,89621963,0.3112221956253052,64,1847.4237093838676,40,24,89688560,89728184,0.8617922067642212,0.9496690034866333,32512,54,False,54,26214.0,20299.0,306.0,4545.0,955.0,41.0,21.0,47.0,24.0,26219.0,26243.0,41.0,747.0,165.0
18,success,True,94655171,94654588,94613963,0.31405457854270935,64,1804.3361197129936,40,24,94680570,94720194,0.9026118516921997,0.9495651721954346,32512,54,False,54,32819.0,26951.0,301.0,4493.0,955.0,41.0,11.0,67.0,29.0,32823.0,32852.0,38.0,762.0,152.0
19,success,True,99647171,99646588,99605963,0.2917177975177765,64,2197.7775462167083,40,24,99672570,99712194,0.8093082308769226,0.9489380121231079,32512,54,False,54,25097.0,19108.0,310.0,4608.0,968.0,41.0,10.0,52.0,24.0,25101.0,25126.0,48.0,765.0,153.0
20,success,True,104639226,104638588,104597963,0.31171944737434387,64,2203.7976474211637,40,24,104664625,104704249,0.885125994682312,0.9499618411064148,32512,54,False,54,25328.0,19272.0,303.0,4479.0,1148.0,42.0,13.0,71.0,177.0,25331.0,25509.0,174.0,773.0,199.0
21,success,True,109631281,109630588,109589963,0.3113618493080139,64,2064.3661322826756,40,24,109656680,109696304,0.8815129995346069,0.9493685364723206,32512,54,False,54,26320.0,20469.0,305.0,4471.0,972.0,41.0,11.0,51.0,61.0,26324.0,26385.0,38.0,777.0,156.0
22,success,True,114623329,114622588,114581963,0.2750183641910553,64,2044.1654016048333,40,24,114648728,114688352,0.7822230458259583,0.9498612284660339,32512,54,False,54,25064.0,19092.0,307.0,4604.0,951.0,41.0,11.0,58.0,28.0,25068.0,25096.0,41.0,756.0,152.0
23,success,True,119615364,119614588,119573963,0.3238498866558075,64,1800.4964384271545,40,24,119640763,119680387,0.901107132434845,0.9504503011703491,32512,54,False,54,24990.0,19127.0,302.0,4449.0,1002.0,46.0,11.0,53.0,35.0,24996.0,25031.0,49.0,783.0,168.0
24,success,True,124607464,124606588,124565963,0.3254376947879791,64,2111.3268016882557,40,24,124632863,124672487,0.9029685258865356,0.9505647420883179,32512,54,False,54,24813.0,18887.0,385.0,4456.0,972.0,43.0,25.0,45.0,24.0,24817.0,24841.0,40.0,775.0,154.0
25,success,True,129599466,129598588,129557963,0.2706165313720703,64,1870.7048803003167,40,24,129624865,129664489,0.7578549385070801,0.9507889151573181,32512,54,False,54,29813.0,23876.0,292.0,4496.0,1032.0,43.0,10.0,64.0,31.0,29817.0,29848.0,41.0,834.0,154.0
26,success,True,134591463,134590588,134549963,0.2872660160064697,64,1814.8987569422075,40,24,134616862,134656486,0.8226826786994934,0.9512899518013,32512,54,False,54,25176.0,19183.0,302.0,4616.0,957.0,42.0,29.0,47.0,24.0,25181.0,25206.0,44.0,756.0,155.0
27,success,True,139583509,139582588,139541963,0.29075753688812256,64,2017.244178416539,40,24,139608908,139648532,0.8151060938835144,0.9514612555503845,32512,54,False,54,43188.0,37301.0,300.0,4479.0,1003.0,40.0,11.0,54.0,25.0,43191.0,43216.0,45.0,800.0,156.0
28,success,True,144575581,144574588,144533963,0.3160945475101471,64,1793.4358244894229,40,24,144600980,144640604,0.8654954433441162,0.9521421194076538,32512,54,False,54,25261.0,19372.0,311.0,4509.0,944.0,52.0,26.0,47.0,28.0,25265.0,25293.0,39.0,749.0,154.0
29,success,True,149567642,149566588,149525963,0.3199514150619507,64,1678.9972521844832,40,24,149593041,149632665,0.9048323631286621,0.9523331522941589,32512,54,False,54,31514.0,25068.0,411.0,4721.0,1205.0,43.0,11.0,55.0,30.0,31519.0,31550.0,189.0,858.0,155.0
30,success,True,154559663,154558588,154517963,0.278117835521698,64,1848.2160148255464,40,24,154585062,154624686,0.7677238583564758,0.9526073932647705,32512,54,False,54,26714.0,20809.0,316.0,4495.0,976.0,41.0,11.0,66.0,28.0,26717.0,26746.0,40.0,779.0,154.0
31,success,True,159551709,159550588,159509963,0.30850428342819214,64,1968.6086920584175,40,24,159577108,159616732,0.8918521404266357,0.953200101852417,32512,54,False,54,25134.0,18931.0,299.0,4821.0,965.0,43.0,12.0,63.0,24.0,25138.0,25163.0,43.0,766.0,154.0
