packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,13727.0,6914.0,914.0,4540.0,1253.0,48.0,11.0,47.0,25.0,13736.0,13762.0,38.0,918.0,294.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,14596.0,7100.0,1368.0,4637.0,1371.0,54.0,15.0,51.0,163.0,14600.0,14763.0,38.0,1037.0,294.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,14817.0,7562.0,946.0,4755.0,1433.0,60.0,14.0,47.0,36.0,14821.0,14858.0,48.0,1003.0,377.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,12942.0,6947.0,352.0,4549.0,985.0,42.0,11.0,56.0,24.0,12947.0,12971.0,40.0,781.0,163.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,13514.0,7345.0,363.0,4716.0,982.0,40.0,14.0,54.0,26.0,13518.0,13544.0,38.0,789.0,153.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,13792.0,6959.0,917.0,4501.0,1308.0,48.0,13.0,46.0,21.0,13796.0,13817.0,37.0,960.0,308.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,13501.0,7096.0,380.0,4823.0,1094.0,41.0,11.0,56.0,31.0,13505.0,13537.0,46.0,886.0,160.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,21220.0,14774.0,333.0,4856.0,1132.0,48.0,13.0,64.0,87.0,21224.0,21312.0,47.0,821.0,261.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,13410.0,6956.0,359.0,4697.0,1261.0,50.0,27.0,60.0,33.0,13414.0,13448.0,59.0,1012.0,187.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,13076.0,7083.0,310.0,4557.0,1015.0,44.0,20.0,47.0,19.0,13079.0,13099.0,46.0,801.0,166.0
