packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,9383.0,2098.0,1496.0,4452.0,1229.0,51.0,12.0,45.0,32.0,9387.0,9420.0,42.0,909.0,275.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,9156.0,2186.0,975.0,4609.0,1276.0,50.0,12.0,48.0,27.0,9159.0,9187.0,42.0,949.0,283.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,8783.0,2088.0,815.0,4509.0,1265.0,48.0,12.0,46.0,24.0,8788.0,8813.0,40.0,945.0,279.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,8048.0,2068.0,302.0,4551.0,1019.0,41.0,11.0,56.0,26.0,8054.0,8081.0,43.0,821.0,153.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,8044.0,2135.0,305.0,4463.0,1034.0,41.0,11.0,55.0,53.0,8050.0,8103.0,42.0,837.0,154.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,7910.0,2122.0,295.0,4407.0,979.0,42.0,11.0,54.0,31.0,7913.0,7945.0,45.0,779.0,153.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,8099.0,2008.0,306.0,4700.0,946.0,41.0,46.0,52.0,29.0,8104.0,8133.0,41.0,751.0,153.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,10084.0,2105.0,301.0,4483.0,3070.0,42.0,22.0,61.0,30.0,10088.0,10119.0,40.0,2874.0,154.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,8152.0,2001.0,304.0,4474.0,1197.0,80.0,22.0,74.0,35.0,8157.0,8192.0,42.0,950.0,201.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,8725.0,2659.0,301.0,4493.0,1147.0,42.0,11.0,72.0,33.0,8730.0,8763.0,41.0,911.0,193.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,8043.0,2037.0,297.0,4589.0,1011.0,43.0,12.0,54.0,31.0,8047.0,8078.0,46.0,810.0,154.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,8535.0,2079.0,300.0,4565.0,1339.0,81.0,36.0,135.0,32.0,8539.0,8572.0,45.0,959.0,332.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,8947.0,2268.0,889.0,4450.0,1237.0,48.0,11.0,44.0,33.0,8952.0,8986.0,40.0,912.0,283.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,14320.0,2080.0,305.0,10868.0,958.0,42.0,11.0,56.0,26.0,14324.0,14350.0,46.0,755.0,155.0
14,success,True,74687008,74686588,74645963,0.28364357352256775,64,1707.8094080631647,40,24,74712407,74752031,0.8174945712089539,0.9496483206748962,32512,54,False,54,8150.0,2265.0,294.0,4488.0,997.0,42.0,11.0,53.0,45.0,8155.0,8201.0,45.0,798.0,153.0
15,success,True,79679047,79678588,79637963,0.30411824584007263,64,2042.9544437384416,40,24,79704446,79744070,0.887606680393219,0.9496607780456543,32512,54,False,54,8953.0,2152.0,294.0,5420.0,979.0,42.0,12.0,54.0,36.0,8958.0,8995.0,46.0,778.0,153.0
16,success,True,84671095,84670588,84629963,0.31989043951034546,64,1946.3936235553963,40,24,84696494,84736118,0.9041464328765869,0.9497926235198975,32512,54,False,54,9002.0,3135.0,299.0,4495.0,965.0,42.0,11.0,55.0,28.0,9005.0,9033.0,41.0,765.0,157.0
17,success,True,89663161,89662588,89621963,0.3112221956253052,64,1847.4237093838676,40,24,89688560,89728184,0.8617922067642212,0.9496690034866333,32512,54,False,54,8239.0,2100.0,301.0,4752.0,976.0,41.0,11.0,58.0,28.0,8242.0,8271.0,43.0,777.0,154.0
18,success,True,94655171,94654588,94613963,0.31405457854270935,64,1804.3361197129936,40,24,94680570,94720194,0.9026118516921997,0.9495651721954346,32512,54,False,54,7863.0,2068.0,294.0,4431.0,962.0,41.0,21.0,46.0,29.0,7867.0,7897.0,39.0,767.0,154.0
19,success,True,99647171,99646588,99605963,0.2917177975177765,64,2197.7775462167083,40,24,99672570,99712194,0.8093082308769226,0.9489380121231079,32512,54,False,54,8168.0,2233.0,293.0,4569.0,948.0,56.0,22.0,47.0,27.0,8172.0,8199.0,40.0,754.0,152.0
20,success,True,104639226,104638588,104597963,0.31171944737434387,64,2203.7976474211637,40,24,104664625,104704249,0.885125994682312,0.9499618411064148,32512,54,False,54,7896.0,2111.0,293.0,4413.0,973.0,41.0,11.0,54.0,39.0,7901.0,7940.0,39.0,780.0,153.0
21,success,True,109631281,109630588,109589963,0.3113618493080139,64,2064.3661322826756,40,24,109656680,109696304,0.8815129995346069,0.9493685364723206,32512,54,False,54,8180.0,2056.0,292.0,4686.0,1012.0,70.0,11.0,53.0,28.0,8185.0,8213.0,52.0,797.0,161.0
22,success,True,114623329,114622588,114581963,0.2750183641910553,64,2044.1654016048333,40,24,114648728,114688352,0.7822230458259583,0.9498612284660339,32512,54,False,54,7738.0,1955.0,296.0,4408.0,960.0,41.0,33.0,45.0,28.0,7741.0,7770.0,40.0,753.0,164.0
23,success,True,119615364,119614588,119573963,0.3238498866558075,64,1800.4964384271545,40,24,119640763,119680387,0.901107132434845,0.9504503011703491,32512,54,False,54,8186.0,2216.0,315.0,4384.0,1141.0,46.0,14.0,70.0,32.0,8190.0,8223.0,59.0,923.0,158.0
24,success,True,124607464,124606588,124565963,0.3254376947879791,64,2111.3268016882557,40,24,124632863,124672487,0.9029685258865356,0.9505647420883179,32512,54,False,54,7842.0,2078.0,289.0,4412.0,951.0,40.0,11.0,61.0,34.0,7846.0,7880.0,38.0,761.0,150.0
25,success,True,129599466,129598588,129557963,0.2706165313720703,64,1870.7048803003167,40,24,129624865,129664489,0.7578549385070801,0.9507889151573181,32512,54,False,54,7837.0,2040.0,288.0,4425.0,968.0,40.0,12.0,64.0,26.0,7841.0,7868.0,44.0,771.0,150.0
26,success,True,134591463,134590588,134549963,0.2872660160064697,64,1814.8987569422075,40,24,134616862,134656486,0.8226826786994934,0.9512899518013,32512,54,False,54,7797.0,2043.0,319.0,4381.0,945.0,40.0,23.0,46.0,28.0,7800.0,7828.0,38.0,752.0,153.0
27,success,True,139583509,139582588,139541963,0.29075753688812256,64,2017.244178416539,40,24,139608908,139648532,0.8151060938835144,0.9514612555503845,32512,54,False,54,7995.0,2197.0,304.0,4386.0,958.0,45.0,30.0,75.0,28.0,7999.0,8028.0,40.0,753.0,163.0
28,timing_failed,False,-1,144574588,144533963,0.0,0,0.0,0,0,-1,-1,0.0,0.0,-1,0,False,0,1665.0,1665.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1666.0,1695.0,0.0,0.0,0.0
29,success,True,149567642,149566588,149525963,0.3199514150619507,64,1678.9972521844832,40,24,149593041,149632665,0.9048323631286621,0.9523331522941589,32512,54,False,54,7805.0,2017.0,294.0,4400.0,971.0,53.0,10.0,60.0,28.0,7808.0,7837.0,44.0,773.0,153.0
30,timing_failed,False,-1,154558588,154517963,0.0,0,0.0,0,0,-1,-1,0.0,0.0,-1,0,False,0,1684.0,1684.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1684.0,1714.0,0.0,0.0,0.0
