packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,11630.0,4777.0,923.0,4552.0,1271.0,50.0,12.0,45.0,24.0,11634.0,11658.0,64.0,925.0,281.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,11533.0,4709.0,861.0,4441.0,1418.0,49.0,11.0,44.0,24.0,11537.0,11561.0,42.0,953.0,420.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,10595.0,4459.0,304.0,4700.0,1016.0,43.0,12.0,61.0,27.0,10600.0,10627.0,40.0,819.0,154.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,12935.0,7132.0,311.0,4430.0,956.0,41.0,12.0,53.0,26.0,12949.0,12976.0,40.0,761.0,153.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,11028.0,4617.0,307.0,4738.0,1258.0,41.0,12.0,55.0,25.0,11033.0,11059.0,39.0,988.0,229.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,11202.0,4374.0,1013.0,4436.0,1273.0,48.0,12.0,46.0,29.0,11207.0,11237.0,39.0,938.0,294.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,10134.0,4388.0,300.0,4394.0,948.0,41.0,11.0,52.0,25.0,10138.0,10163.0,38.0,758.0,150.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,10075.0,4352.0,292.0,4376.0,950.0,41.0,19.0,45.0,24.0,10078.0,10103.0,39.0,758.0,151.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,10417.0,4425.0,292.0,4389.0,1190.0,54.0,21.0,46.0,25.0,10421.0,10446.0,40.0,931.0,217.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,10360.0,4486.0,294.0,4493.0,979.0,42.0,12.0,54.0,27.0,10363.0,10391.0,41.0,768.0,169.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,11241.0,4488.0,913.0,4446.0,1291.0,47.0,11.0,45.0,23.0,11244.0,11268.0,39.0,966.0,284.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,10249.0,4346.0,297.0,4527.0,970.0,42.0,22.0,45.0,26.0,10253.0,10279.0,40.0,774.0,155.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,11916.0,6082.0,307.0,4469.0,951.0,41.0,11.0,55.0,22.0,11920.0,11943.0,38.0,759.0,152.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,10340.0,4452.0,305.0,4511.0,965.0,41.0,12.0,54.0,24.0,10344.0,10368.0,46.0,760.0,157.0
14,success,True,74687008,74686588,74645963,0.28364357352256775,64,1707.8094080631647,40,24,74712407,74752031,0.8174945712089539,0.9496483206748962,32512,54,False,54,10491.0,4658.0,300.0,4416.0,1009.0,42.0,12.0,54.0,33.0,10495.0,10528.0,42.0,797.0,169.0
15,success,True,79679047,79678588,79637963,0.30411824584007263,64,2042.9544437384416,40,24,79704446,79744070,0.887606680393219,0.9496607780456543,32512,54,False,54,10323.0,4516.0,293.0,4463.0,943.0,41.0,22.0,45.0,26.0,10325.0,10352.0,39.0,751.0,151.0
16,success,True,84671095,84670588,84629963,0.31989043951034546,64,1946.3936235553963,40,24,84696494,84736118,0.9041464328765869,0.9497926235198975,32512,54,False,54,10308.0,4437.0,304.0,4483.0,958.0,41.0,21.0,64.0,23.0,10311.0,10335.0,39.0,761.0,156.0
17,success,True,89663161,89662588,89621963,0.3112221956253052,64,1847.4237093838676,40,24,89688560,89728184,0.8617922067642212,0.9496690034866333,32512,54,False,54,10333.0,4497.0,341.0,4428.0,954.0,41.0,13.0,59.0,25.0,10337.0,10362.0,43.0,756.0,153.0
18,success,True,94655171,94654588,94613963,0.31405457854270935,64,1804.3361197129936,40,24,94680570,94720194,0.9026118516921997,0.9495651721954346,32512,54,False,54,10240.0,4435.0,302.0,4431.0,962.0,42.0,12.0,56.0,28.0,10243.0,10272.0,39.0,766.0,154.0
19,success,True,99647171,99646588,99605963,0.2917177975177765,64,2197.7775462167083,40,24,99672570,99712194,0.8093082308769226,0.9489380121231079,32512,54,False,54,10708.0,4608.0,296.0,4486.0,1176.0,42.0,12.0,88.0,27.0,10713.0,10741.0,39.0,759.0,376.0
20,success,True,104639226,104638588,104597963,0.31171944737434387,64,2203.7976474211637,40,24,104664625,104704249,0.885125994682312,0.9499618411064148,32512,54,False,54,10550.0,4593.0,296.0,4565.0,980.0,41.0,11.0,64.0,19.0,10555.0,10574.0,41.0,781.0,156.0
21,success,True,109631281,109630588,109589963,0.3113618493080139,64,2064.3661322826756,40,24,109656680,109696304,0.8815129995346069,0.9493685364723206,32512,54,False,54,10313.0,4445.0,294.0,4449.0,996.0,42.0,12.0,75.0,30.0,10317.0,10348.0,41.0,755.0,196.0
22,success,True,114623329,114622588,114581963,0.2750183641910553,64,2044.1654016048333,40,24,114648728,114688352,0.7822230458259583,0.9498612284660339,32512,54,False,54,10623.0,4624.0,301.0,4612.0,973.0,43.0,13.0,57.0,34.0,10628.0,10662.0,49.0,768.0,154.0
23,success,True,119615364,119614588,119573963,0.3238498866558075,64,1800.4964384271545,40,24,119640763,119680387,0.901107132434845,0.9504503011703491,32512,54,False,54,10317.0,4415.0,298.0,4509.0,969.0,43.0,12.0,71.0,26.0,10321.0,10347.0,37.0,774.0,156.0
24,success,True,124607464,124606588,124565963,0.3254376947879791,64,2111.3268016882557,40,24,124632863,124672487,0.9029685258865356,0.9505647420883179,32512,54,False,54,10336.0,4446.0,293.0,4483.0,989.0,42.0,12.0,71.0,23.0,10340.0,10364.0,46.0,789.0,152.0
25,success,True,129599466,129598588,129557963,0.2706165313720703,64,1870.7048803003167,40,24,129624865,129664489,0.7578549385070801,0.9507889151573181,32512,54,False,54,10239.0,4393.0,294.0,4397.0,987.0,43.0,36.0,89.0,37.0,10243.0,10280.0,43.0,790.0,152.0
26,success,True,134591463,134590588,134549963,0.2872660160064697,64,1814.8987569422075,40,24,134616862,134656486,0.8226826786994934,0.9512899518013,32512,54,False,54,10272.0,4499.0,296.0,4421.0,939.0,41.0,12.0,64.0,29.0,10277.0,10306.0,41.0,743.0,153.0
27,success,True,139583509,139582588,139541963,0.29075753688812256,64,2017.244178416539,40,24,139608908,139648532,0.8151060938835144,0.9514612555503845,32512,54,False,54,10294.0,4443.0,308.0,4454.0,968.0,42.0,31.0,48.0,26.0,10297.0,10323.0,39.0,773.0,154.0
