packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,11974.0,5242.0,828.0,4467.0,1330.0,50.0,13.0,44.0,26.0,11979.0,12006.0,41.0,957.0,330.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,12391.0,5539.0,832.0,4635.0,1278.0,48.0,12.0,47.0,19.0,12395.0,12414.0,49.0,934.0,292.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,11668.0,5770.0,293.0,4530.0,971.0,41.0,11.0,52.0,23.0,11672.0,11696.0,40.0,776.0,154.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,11251.0,5327.0,304.0,4441.0,1073.0,41.0,11.0,54.0,26.0,11255.0,11282.0,38.0,879.0,154.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,12153.0,5445.0,809.0,4540.0,1254.0,49.0,12.0,44.0,64.0,12157.0,12222.0,39.0,935.0,279.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,11419.0,5527.0,370.0,4430.0,982.0,41.0,23.0,46.0,34.0,11424.0,11458.0,39.0,787.0,154.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,11227.0,5464.0,298.0,4411.0,948.0,41.0,21.0,44.0,28.0,11231.0,11260.0,39.0,754.0,154.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,11184.0,5326.0,313.0,4458.0,976.0,42.0,12.0,57.0,22.0,11188.0,11210.0,40.0,780.0,154.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,11483.0,5131.0,292.0,4647.0,1306.0,42.0,11.0,54.0,31.0,11487.0,11519.0,47.0,991.0,265.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,11262.0,5272.0,307.0,4550.0,1022.0,42.0,12.0,57.0,33.0,11267.0,11301.0,40.0,827.0,153.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,11652.0,5175.0,293.0,5023.0,1033.0,42.0,12.0,74.0,49.0,11657.0,11706.0,42.0,834.0,154.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,11593.0,5361.0,317.0,4719.0,1087.0,42.0,21.0,46.0,31.0,11596.0,11628.0,81.0,851.0,154.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,11059.0,5256.0,317.0,4414.0,951.0,51.0,13.0,57.0,24.0,11062.0,11087.0,43.0,754.0,153.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,11507.0,5696.0,303.0,4446.0,945.0,41.0,21.0,55.0,24.0,11512.0,11537.0,39.0,751.0,153.0
14,success,True,74687008,74686588,74645963,0.28364357352256775,64,1707.8094080631647,40,24,74712407,74752031,0.8174945712089539,0.9496483206748962,32512,54,False,54,11133.0,5280.0,293.0,4392.0,1039.0,53.0,24.0,52.0,36.0,11136.0,11173.0,38.0,770.0,228.0
15,success,True,79679047,79678588,79637963,0.30411824584007263,64,2042.9544437384416,40,24,79704446,79744070,0.887606680393219,0.9496607780456543,32512,54,False,54,11087.0,5215.0,316.0,4468.0,949.0,42.0,11.0,86.0,36.0,11091.0,11127.0,40.0,754.0,153.0
16,success,True,84671095,84670588,84629963,0.31989043951034546,64,1946.3936235553963,40,24,84696494,84736118,0.9041464328765869,0.9497926235198975,32512,54,False,54,10985.0,5119.0,294.0,4499.0,957.0,41.0,11.0,64.0,101.0,10990.0,11092.0,40.0,756.0,159.0
17,success,True,89663161,89662588,89621963,0.3112221956253052,64,1847.4237093838676,40,24,89688560,89728184,0.8617922067642212,0.9496690034866333,32512,54,False,54,11424.0,5365.0,314.0,4641.0,990.0,41.0,11.0,62.0,27.0,11429.0,11456.0,40.0,778.0,170.0
18,success,True,94655171,94654588,94613963,0.31405457854270935,64,1804.3361197129936,40,24,94680570,94720194,0.9026118516921997,0.9495651721954346,32512,54,False,54,11248.0,5419.0,302.0,4457.0,953.0,41.0,12.0,64.0,24.0,11253.0,11277.0,39.0,749.0,163.0
19,success,True,99647171,99646588,99605963,0.2917177975177765,64,2197.7775462167083,40,24,99672570,99712194,0.8093082308769226,0.9489380121231079,32512,54,False,54,11131.0,5407.0,312.0,4358.0,939.0,40.0,12.0,63.0,26.0,11135.0,11162.0,39.0,746.0,152.0
20,success,True,104639226,104638588,104597963,0.31171944737434387,64,2203.7976474211637,40,24,104664625,104704249,0.885125994682312,0.9499618411064148,32512,54,False,54,11097.0,5132.0,292.0,4588.0,965.0,41.0,32.0,47.0,28.0,11101.0,11129.0,40.0,771.0,153.0
21,success,True,109631281,109630588,109589963,0.3113618493080139,64,2064.3661322826756,40,24,109656680,109696304,0.8815129995346069,0.9493685364723206,32512,54,False,54,11397.0,5204.0,303.0,4777.0,1006.0,41.0,11.0,55.0,24.0,11400.0,11425.0,43.0,810.0,150.0
22,success,True,114623329,114622588,114581963,0.2750183641910553,64,2044.1654016048333,40,24,114648728,114688352,0.7822230458259583,0.9498612284660339,32512,54,False,54,10985.0,5221.0,312.0,4333.0,999.0,40.0,11.0,69.0,22.0,10988.0,11010.0,68.0,780.0,149.0
23,success,True,119615364,119614588,119573963,0.3238498866558075,64,1800.4964384271545,40,24,119640763,119680387,0.901107132434845,0.9504503011703491,32512,54,False,54,10926.0,5183.0,295.0,4345.0,972.0,40.0,22.0,69.0,31.0,10929.0,10961.0,45.0,777.0,149.0
24,success,True,124607464,124606588,124565963,0.3254376947879791,64,2111.3268016882557,40,24,124632863,124672487,0.9029685258865356,0.9505647420883179,32512,54,False,54,11230.0,5201.0,290.0,4650.0,963.0,41.0,12.0,73.0,21.0,11234.0,11256.0,38.0,771.0,153.0
25,success,True,129599466,129598588,129557963,0.2706165313720703,64,1870.7048803003167,40,24,129624865,129664489,0.7578549385070801,0.9507889151573181,32512,54,False,54,11336.0,5421.0,311.0,4499.0,967.0,53.0,36.0,49.0,31.0,11340.0,11372.0,43.0,771.0,151.0
26,success,True,134591463,134590588,134549963,0.2872660160064697,64,1814.8987569422075,40,24,134616862,134656486,0.8226826786994934,0.9512899518013,32512,54,False,54,11200.0,5459.0,294.0,4382.0,935.0,41.0,39.0,50.0,23.0,11203.0,11227.0,43.0,738.0,153.0
27,success,True,139583509,139582588,139541963,0.29075753688812256,64,2017.244178416539,40,24,139608908,139648532,0.8151060938835144,0.9514612555503845,32512,54,False,54,11324.0,5382.0,306.0,4486.0,1023.0,41.0,35.0,51.0,26.0,11328.0,11354.0,39.0,829.0,153.0
28,success,True,144575581,144574588,144533963,0.3160945475101471,64,1793.4358244894229,40,24,144600980,144640604,0.8654954433441162,0.9521421194076538,32512,54,False,54,11203.0,5134.0,292.0,4712.0,943.0,41.0,11.0,70.0,17.0,11208.0,11225.0,39.0,751.0,152.0
29,success,True,149567642,149566588,149525963,0.3199514150619507,64,1678.9972521844832,40,24,149593041,149632665,0.9048323631286621,0.9523331522941589,32512,54,False,54,11621.0,5312.0,310.0,4830.0,1039.0,44.0,12.0,74.0,22.0,11625.0,11648.0,105.0,777.0,154.0
