packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,9230.0,2453.0,840.0,4504.0,1325.0,51.0,11.0,46.0,22.0,9240.0,9262.0,40.0,973.0,308.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,9317.0,2490.0,854.0,4559.0,1297.0,57.0,13.0,47.0,25.0,9319.0,9345.0,39.0,953.0,302.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,8325.0,2235.0,300.0,4668.0,1003.0,52.0,14.0,53.0,22.0,8329.0,8351.0,40.0,789.0,171.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,9331.0,2447.0,914.0,4544.0,1324.0,47.0,11.0,44.0,24.0,9334.0,9359.0,44.0,977.0,300.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,8482.0,2391.0,315.0,4553.0,1109.0,43.0,12.0,59.0,25.0,8485.0,8511.0,48.0,851.0,208.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,8419.0,2370.0,336.0,4610.0,979.0,48.0,15.0,61.0,25.0,8423.0,8449.0,42.0,761.0,173.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,9461.0,2533.0,925.0,4539.0,1351.0,51.0,12.0,50.0,30.0,9464.0,9495.0,38.0,996.0,316.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,8673.0,2390.0,562.0,4600.0,1007.0,46.0,20.0,48.0,26.0,8676.0,8703.0,46.0,806.0,153.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,8184.0,2302.0,330.0,4473.0,974.0,41.0,19.0,45.0,62.0,8188.0,8250.0,46.0,759.0,167.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,8425.0,2374.0,352.0,4582.0,1006.0,41.0,11.0,59.0,27.0,8428.0,8456.0,38.0,812.0,154.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,8374.0,2286.0,342.0,4559.0,1065.0,57.0,13.0,52.0,31.0,8379.0,8410.0,45.0,859.0,158.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,8274.0,2333.0,297.0,4529.0,976.0,61.0,11.0,67.0,29.0,8279.0,8308.0,43.0,774.0,157.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,8364.0,2441.0,322.0,4471.0,1015.0,41.0,11.0,63.0,30.0,8367.0,8397.0,38.0,810.0,165.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,8246.0,2333.0,315.0,4519.0,967.0,47.0,11.0,54.0,26.0,8250.0,8277.0,39.0,765.0,162.0
14,success,True,74687008,74686588,74645963,0.28364357352256775,64,1707.8094080631647,40,24,74712407,74752031,0.8174945712089539,0.9496483206748962,32512,54,False,54,8259.0,2335.0,302.0,4508.0,1003.0,43.0,13.0,55.0,32.0,8263.0,8295.0,42.0,803.0,156.0
15,success,True,79679047,79678588,79637963,0.30411824584007263,64,2042.9544437384416,40,24,79704446,79744070,0.887606680393219,0.9496607780456543,32512,54,False,54,8693.0,2445.0,295.0,4585.0,1149.0,40.0,21.0,158.0,25.0,8698.0,8723.0,63.0,928.0,156.0
16,success,True,84671095,84670588,84629963,0.31989043951034546,64,1946.3936235553963,40,24,84696494,84736118,0.9041464328765869,0.9497926235198975,32512,54,False,54,8443.0,2450.0,324.0,4425.0,1129.0,41.0,25.0,49.0,32.0,8447.0,8479.0,40.0,914.0,173.0
17,success,True,89663161,89662588,89621963,0.3112221956253052,64,1847.4237093838676,40,24,89688560,89728184,0.8617922067642212,0.9496690034866333,32512,54,False,54,8068.0,2172.0,344.0,4471.0,967.0,41.0,13.0,60.0,25.0,8072.0,8097.0,41.0,767.0,157.0
18,success,True,94655171,94654588,94613963,0.31405457854270935,64,1804.3361197129936,40,24,94680570,94720194,0.9026118516921997,0.9495651721954346,32512,54,False,54,8614.0,2488.0,353.0,4600.0,1058.0,42.0,11.0,62.0,22.0,8619.0,8641.0,37.0,764.0,255.0
19,success,True,99647171,99646588,99605963,0.2917177975177765,64,2197.7775462167083,40,24,99672570,99712194,0.8093082308769226,0.9489380121231079,32512,54,False,54,9678.0,2383.0,320.0,5887.0,967.0,43.0,11.0,67.0,25.0,9682.0,9707.0,39.0,772.0,154.0
