packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,18085.0,9722.0,848.0,6135.0,1273.0,49.0,12.0,46.0,25.0,18089.0,18114.0,41.0,948.0,282.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,16704.0,9885.0,840.0,4466.0,1408.0,48.0,11.0,46.0,29.0,16708.0,16738.0,37.0,1092.0,277.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,18167.0,9668.0,300.0,5948.0,2148.0,41.0,11.0,51.0,21.0,18172.0,18193.0,42.0,1876.0,228.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,17235.0,11486.0,302.0,4381.0,961.0,41.0,11.0,53.0,22.0,17239.0,17261.0,40.0,765.0,154.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,17003.0,9604.0,862.0,5166.0,1268.0,47.0,11.0,45.0,50.0,17007.0,17057.0,38.0,952.0,277.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,15623.0,9682.0,315.0,4489.0,1019.0,44.0,13.0,61.0,20.0,15626.0,15647.0,41.0,783.0,192.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,16164.0,9950.0,346.0,4601.0,1152.0,43.0,23.0,49.0,25.0,16168.0,16193.0,42.0,955.0,153.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,16454.0,10346.0,308.0,4611.0,1076.0,43.0,23.0,47.0,24.0,16459.0,16483.0,40.0,878.0,155.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,15836.0,9565.0,299.0,4734.0,1125.0,45.0,12.0,56.0,27.0,15840.0,15867.0,43.0,916.0,163.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,15978.0,10098.0,299.0,4422.0,1043.0,44.0,13.0,59.0,35.0,15980.0,16016.0,44.0,840.0,157.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,15465.0,9640.0,303.0,4449.0,968.0,41.0,11.0,53.0,21.0,15470.0,15491.0,40.0,771.0,156.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,16185.0,9637.0,297.0,5117.0,1014.0,41.0,11.0,68.0,25.0,16188.0,16214.0,42.0,814.0,157.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,15725.0,9734.0,299.0,4631.0,950.0,42.0,12.0,57.0,25.0,15729.0,15754.0,47.0,750.0,151.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,15669.0,9684.0,306.0,4588.0,972.0,45.0,14.0,60.0,26.0,15672.0,15699.0,43.0,759.0,166.0
14,success,True,74687008,74686588,74645963,0.28364357352256775,64,1707.8094080631647,40,24,74712407,74752031,0.8174945712089539,0.9496483206748962,32512,54,False,54,17366.0,11446.0,359.0,4466.0,978.0,42.0,12.0,63.0,65.0,17370.0,17436.0,45.0,764.0,166.0
15,success,True,79679047,79678588,79637963,0.30411824584007263,64,2042.9544437384416,40,24,79704446,79744070,0.887606680393219,0.9496607780456543,32512,54,False,54,16141.0,9704.0,311.0,5055.0,954.0,41.0,21.0,55.0,17.0,16146.0,16163.0,42.0,755.0,156.0
16,success,True,84671095,84670588,84629963,0.31989043951034546,64,1946.3936235553963,40,24,84696494,84736118,0.9041464328765869,0.9497926235198975,32512,54,False,54,19429.0,13485.0,303.0,4554.0,953.0,41.0,21.0,72.0,23.0,19433.0,19456.0,42.0,752.0,158.0
