packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,10933.0,3652.0,938.0,4911.0,1297.0,78.0,12.0,45.0,30.0,10937.0,10967.0,41.0,967.0,286.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,9831.0,3558.0,326.0,4768.0,1063.0,43.0,25.0,48.0,21.0,9835.0,9856.0,56.0,845.0,158.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,10750.0,3756.0,943.0,4631.0,1313.0,51.0,11.0,45.0,22.0,10754.0,10776.0,41.0,982.0,288.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,9673.0,3636.0,322.0,4609.0,1001.0,41.0,19.0,45.0,26.0,9676.0,9703.0,45.0,787.0,167.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,9598.0,3622.0,324.0,4557.0,991.0,41.0,11.0,52.0,28.0,9602.0,9631.0,39.0,793.0,157.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,9621.0,3556.0,313.0,4610.0,1037.0,42.0,10.0,53.0,21.0,9624.0,9645.0,43.0,834.0,158.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,9948.0,3674.0,320.0,4873.0,975.0,42.0,11.0,53.0,32.0,9954.0,9986.0,53.0,765.0,155.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,9722.0,3610.0,318.0,4621.0,1045.0,51.0,11.0,66.0,33.0,9725.0,9759.0,39.0,825.0,178.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,9374.0,3526.0,348.0,4442.0,951.0,42.0,10.0,55.0,28.0,9379.0,9407.0,51.0,746.0,152.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,9607.0,3514.0,342.0,4573.0,1051.0,46.0,11.0,70.0,36.0,9610.0,9647.0,41.0,845.0,162.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,9416.0,3489.0,317.0,4494.0,977.0,43.0,20.0,76.0,33.0,9421.0,9454.0,41.0,777.0,158.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,28336.0,3497.0,18624.0,4709.0,1393.0,52.0,14.0,47.0,33.0,28340.0,28374.0,42.0,1058.0,291.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,9988.0,3555.0,353.0,4978.0,963.0,42.0,11.0,86.0,32.0,9991.0,10023.0,44.0,760.0,156.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,10737.0,3569.0,315.0,5385.0,1362.0,42.0,11.0,53.0,240.0,10742.0,10982.0,50.0,1117.0,192.0
14,success,True,74687008,74686588,74645963,0.28364357352256775,64,1707.8094080631647,40,24,74712407,74752031,0.8174945712089539,0.9496483206748962,32512,54,False,54,9594.0,3655.0,303.0,4511.0,1010.0,46.0,11.0,58.0,73.0,9598.0,9672.0,46.0,804.0,158.0
15,success,True,79679047,79678588,79637963,0.30411824584007263,64,2042.9544437384416,40,24,79704446,79744070,0.887606680393219,0.9496607780456543,32512,54,False,54,9641.0,3602.0,307.0,4634.0,989.0,42.0,22.0,45.0,26.0,9644.0,9671.0,47.0,764.0,176.0
