key,value
fs_rx,9.984e+08
code_index,9
preamble_repetitions,64
sfd_mode,ieee-legacy
data_rate,6.81
t0_0based,9984
packet_samples,249280
preamble_start_0based,9984
preamble_period,1016.000000
preamble_metric,1.000000
detected_peaks,64
cfo_hz,0.0000
sfd_start_chip,32512
sfd_end_chip,36575
sfd_polarity,1
sfd_correlation,1.000000
psdu_length,127
secded_pass,1
payload_bytes,127
fcs_pass,1
fcs_received,0x584b
fcs_calculated,0x584b
