slot,status,decode_ok,fcs_pass,predicted_start_native,window_start_native,predicted_start_out,detected_start_out,det_minus_pred,detected_repetitions,timing_metric,clock_error_ppm,cfo_hz,sfd_correlation,phr_secded_pass,psdu_length,fcs_received,fcs_calculated,payload_hex,error_id,error_message
87,success,1,1,324260352,324230352,439102588,439106075,3487,64,0.935615837574005,6.66133814775094e-10,2143.95296339347,0.931331932544708,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
88,success,1,1,327946752,327916752,444094588,444098113,3525,64,0.906004190444946,4.44089209850063e-10,1771.84749693108,0.904836356639862,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
89,success,1,1,331633152,331603152,449086588,449090167,3579,64,0.934033036231995,2.22044604925031e-10,1658.93630701139,0.933526873588562,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
90,success,1,1,335319552,335289552,454078588,454082181,3593,64,0.945360064506531,2.22044604925031e-10,2054.24943482197,0.942703247070312,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
91,success,1,1,339005952,338975952,459070588,459074241,3653,64,0.887609958648682,2.22044604925031e-10,1753.41995893305,0.886166095733643,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
92,success,1,1,342692352,342662352,464062588,464066336,3748,64,0.954210996627808,4.44089209850063e-10,2130.14474542114,0.952588260173798,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
93,success,1,1,346378752,346348752,469054588,469058367,3779,64,0.900003373622894,2.22044604925031e-10,1959.9151585806,0.89307564496994,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
94,success,1,1,350065152,350035152,474046588,474050371,3783,64,0.939819753170013,6.66133814775094e-10,1675.92287173433,0.93868762254715,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
95,success,1,1,353751552,353721552,479038588,479042395,3807,64,0.937117576599121,4.44089209850063e-10,1613.11860412373,0.936453938484192,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
96,success,1,1,357437952,357407952,484030588,484034435,3847,64,0.915873527526855,6.66133814775094e-10,1759.4776092141,0.911394715309143,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
97,success,1,1,361124352,361094352,489022588,489026507,3919,64,0.949288725852966,2.22044604925031e-10,1638.69159391587,0.948253154754639,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
98,success,1,1,364810752,364780752,494014588,494018584,3996,64,0.939513385295868,2.22044604925031e-10,1439.79079505631,0.935463547706604,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
