packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,sfd_final_det,sfd_initial_pred,sfd_boot_det,sfd_boot_first_valid_back,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_timing_coarse_us,t_timing_fine_track_us,t_resample_us,t_cfo_us,t_sfd_us,sfd_boot_windows,sfd_boot_coarse,sfd_boot_fine,sfd_final_windows,sfd_final_coarse,sfd_final_fine,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
15,success,True,79679047,79678588,79637963,0.30411824584007263,64,2042.9544437384416,40,24,79704446,79744070,0.887606680393219,79744071,79746103,79744071,2,0.9496607780456543,32512,54,False,54,4546.0,2216.0,1386.0,830.0,2162.0,294.0,1018.0,3,15,45,1,5,15,910.0,39.0,10.0,59.0,28.0,4550.0,4578.0,36.0,722.0,150.0
16,success,True,84671095,84670588,84629963,0.31989043951034546,64,1946.3936235553963,40,24,84696494,84736118,0.9041464328765869,84736119,84736119,84736119,0,0.9497926235198975,32512,54,False,54,4348.0,2206.0,1440.0,766.0,2042.0,282.0,785.0,1,5,15,1,5,15,959.0,41.0,11.0,64.0,32.0,4354.0,4386.0,36.0,766.0,155.0
17,success,True,89663161,89662588,89621963,0.3112221956253052,64,1847.4237093838676,40,24,89688560,89728184,0.8617922067642212,89728185,89728185,89728185,0,0.9496690034866333,32512,54,False,54,4206.0,2073.0,1399.0,674.0,2119.0,291.0,787.0,1,5,15,1,5,15,945.0,40.0,26.0,44.0,25.0,4209.0,4235.0,37.0,757.0,149.0
18,success,True,94655171,94654588,94613963,0.31405457854270935,64,1804.3361197129936,40,24,94680570,94720194,0.9026118516921997,94720195,94720195,94720195,0,0.9495651721954346,32512,54,False,54,4435.0,2159.0,1378.0,781.0,2103.0,313.0,875.0,1,5,15,1,5,15,956.0,41.0,43.0,48.0,25.0,4440.0,4466.0,43.0,759.0,152.0
19,success,True,99647171,99646588,99605963,0.2917177975177765,64,2197.7775462167083,40,24,99672570,99712194,0.8093082308769226,99712195,99716259,99712195,4,0.9489380121231079,32512,54,False,54,4848.0,2161.0,1367.0,794.0,2072.0,330.0,1307.0,5,25,75,1,5,15,940.0,40.0,10.0,60.0,23.0,4853.0,4877.0,48.0,742.0,148.0
20,success,True,104639226,104638588,104597963,0.31171944737434387,64,2203.7976474211637,40,24,104664625,104704249,0.885125994682312,104704250,104704250,104704250,0,0.9499618411064148,32512,54,False,54,4354.0,2167.0,1434.0,733.0,2277.0,291.0,805.0,1,5,15,1,5,15,976.0,41.0,10.0,64.0,27.0,4358.0,4386.0,37.0,784.0,153.0
21,success,True,109631281,109630588,109589963,0.3113618493080139,64,2064.3661322826756,40,24,109656680,109696304,0.8815129995346069,109696305,109696305,109696305,0,0.9493685364723206,32512,54,False,54,4334.0,2106.0,1419.0,686.0,2198.0,296.0,817.0,1,5,15,1,5,15,995.0,43.0,11.0,66.0,33.0,4338.0,4372.0,50.0,790.0,154.0
22,success,True,114623329,114622588,114581963,0.2750183641910553,64,2044.1654016048333,40,24,114648728,114688352,0.7822230458259583,114688353,114695465,114688353,7,0.9498612284660339,32512,54,False,54,5400.0,2362.0,1470.0,892.0,2136.0,326.0,1627.0,8,40,120,1,5,15,968.0,41.0,28.0,48.0,40.0,5405.0,5445.0,39.0,776.0,152.0
23,success,True,119615364,119614588,119573963,0.3238498866558075,64,1800.4964384271545,40,24,119640763,119680387,0.901107132434845,119680388,119680388,119680388,0,0.9504503011703491,32512,54,False,54,5213.0,2213.0,1489.0,723.0,2108.0,813.0,829.0,1,5,15,1,5,15,1256.0,46.0,11.0,45.0,28.0,5225.0,5254.0,38.0,938.0,277.0
24,success,True,124607464,124606588,124565963,0.3254376947879791,64,2111.3268016882557,40,24,124632863,124672487,0.9029685258865356,124672488,124678584,124672488,6,0.9505647420883179,32512,54,False,54,5137.0,2263.0,1456.0,807.0,2220.0,293.0,1509.0,7,35,105,1,5,15,968.0,41.0,10.0,53.0,23.0,5141.0,5164.0,36.0,760.0,169.0
25,success,True,129599466,129598588,129557963,0.2706165313720703,64,1870.7048803003167,40,24,129624865,129664489,0.7578549385070801,129664490,129668554,129664490,4,0.9507889151573181,32512,54,False,54,4909.0,2222.0,1388.0,834.0,2135.0,302.0,1267.0,5,25,75,1,5,15,1014.0,40.0,20.0,44.0,25.0,4914.0,4939.0,38.0,822.0,152.0
26,success,True,134591463,134590588,134549963,0.2872660160064697,64,1814.8987569422075,40,24,134616862,134656486,0.8226826786994934,134656487,134656487,134656487,0,0.9512899518013,32512,54,False,54,4790.0,2170.0,1408.0,762.0,2083.0,314.0,1085.0,1,5,15,1,5,15,1110.0,42.0,11.0,58.0,23.0,4793.0,4816.0,65.0,888.0,154.0
27,success,True,139583509,139582588,139541963,0.29075753688812256,64,2017.244178416539,40,24,139608908,139648532,0.8151060938835144,139648533,139648533,139648533,0,0.9514612555503845,32512,54,False,54,4325.0,2140.0,1392.0,748.0,2124.0,294.0,822.0,1,5,15,1,5,15,953.0,41.0,12.0,63.0,28.0,4328.0,4357.0,37.0,761.0,152.0
28,success,True,144575581,144574588,144533963,0.3160945475101471,64,1793.4358244894229,40,24,144600980,144640604,0.8654954433441162,144640605,144640605,144640605,0,0.9521421194076538,32512,54,False,54,4961.0,2669.0,1788.0,880.0,2180.0,299.0,851.0,1,5,15,1,5,15,1024.0,42.0,30.0,46.0,26.0,4964.0,4991.0,38.0,831.0,153.0
29,success,True,149567642,149566588,149525963,0.3199514150619507,64,1678.9972521844832,40,24,149593041,149632665,0.9048323631286621,149632666,149632666,149632666,0,0.9523331522941589,32512,54,False,54,4342.0,2132.0,1435.0,697.0,2108.0,297.0,808.0,1,5,15,1,5,15,963.0,41.0,11.0,90.0,20.0,4345.0,4366.0,37.0,769.0,155.0
30,success,True,154559663,154558588,154517963,0.278117835521698,64,1848.2160148255464,40,24,154585062,154624686,0.7677238583564758,154624687,154624687,154624687,0,0.9526073932647705,32512,54,False,54,4436.0,2175.0,1440.0,735.0,2125.0,341.0,835.0,1,5,15,1,5,15,970.0,41.0,11.0,63.0,25.0,4441.0,4466.0,36.0,779.0,152.0
31,success,True,159551709,159550588,159509963,0.30850428342819214,64,1968.6086920584175,40,24,159577108,159616732,0.8918521404266357,159616733,159616733,159616733,0,0.953200101852417,32512,54,False,54,4635.0,2231.0,1425.0,806.0,2105.0,297.0,862.0,1,5,15,1,5,15,1130.0,42.0,11.0,62.0,27.0,4638.0,4665.0,40.0,934.0,153.0
32,success,True,164543766,164542588,164501963,0.32524269819259644,64,2012.8090380819299,40,24,164569165,164608789,0.8772292137145996,164608790,164608790,164608790,0,0.953386664390564,32512,54,False,54,4360.0,2187.0,1381.0,806.0,2112.0,313.0,807.0,1,5,15,1,5,15,950.0,40.0,19.0,44.0,28.0,4365.0,4393.0,46.0,751.0,151.0
33,success,True,169535818,169534588,169493963,0.318742573261261,64,2124.107497486356,40,24,169561217,169600841,0.8816326260566711,169600842,169602874,169600842,2,0.9536719918251038,32512,54,False,54,4708.0,2285.0,1470.0,815.0,2461.0,296.0,1029.0,3,15,45,1,5,15,982.0,41.0,29.0,46.0,30.0,4711.0,4742.0,37.0,769.0,174.0
34,success,True,174527829,174526588,174485963,0.3049256503582001,64,1683.4732197441992,40,24,174553228,174592852,0.879403829574585,174592853,174592853,174592853,0,0.954327404499054,32512,54,False,54,4374.0,2198.0,1406.0,792.0,2100.0,287.0,811.0,1,5,15,1,5,15,970.0,40.0,10.0,58.0,28.0,4379.0,4407.0,37.0,780.0,152.0
35,success,True,179519902,179518588,179477963,0.29897335171699524,64,2004.4479674508727,40,24,179545301,179584925,0.8464818596839905,179584926,179586958,179584926,2,0.954439103603363,32512,54,False,54,4637.0,2234.0,1422.0,812.0,2113.0,293.0,1033.0,3,15,45,1,5,15,965.0,40.0,11.0,61.0,30.0,4641.0,4671.0,37.0,774.0,152.0
36,success,True,184511930,184510588,184469963,0.26326945424079895,64,1844.6232228410875,40,24,184537329,184576953,0.7721424102783203,184576954,184576954,184576954,0,0.9479020237922668,32512,54,False,54,13856.0,2115.0,1434.0,681.0,2086.0,325.0,839.0,1,5,15,1,5,15,10453.0,51.0,11.0,62.0,21.0,13859.0,13880.0,40.0,10204.0,206.0
37,success,True,189504022,189502588,189461963,0.3152751624584198,64,1890.0411659538493,40,24,189529421,189569045,0.8855559825897217,189569046,189569046,189569046,0,0.9549270868301392,32512,54,False,54,4418.0,2122.0,1433.0,688.0,2091.0,332.0,826.0,1,5,15,1,5,15,1027.0,41.0,10.0,60.0,29.0,4421.0,4451.0,38.0,836.0,152.0
38,success,True,194496022,194494588,194453963,0.3098526895046234,64,1981.7069092324218,40,24,194521421,194561045,0.8664206266403198,194561046,194562062,194561046,1,0.9551753997802734,32512,54,False,54,4514.0,2220.0,1411.0,809.0,2181.0,297.0,923.0,2,10,30,1,5,15,961.0,41.0,10.0,62.0,31.0,4518.0,4549.0,37.0,770.0,152.0
39,success,True,199488047,199486588,199445963,0.27937051653862,64,1845.122228149841,40,24,199513446,199553070,0.7843265533447266,199553071,199556119,199553071,3,0.9554620385169983,32512,54,False,54,4818.0,2258.0,1451.0,807.0,2128.0,294.0,1213.0,4,20,60,1,5,15,938.0,41.0,28.0,46.0,30.0,4821.0,4851.0,39.0,743.0,154.0
40,success,True,204480113,204478588,204437963,0.3081550598144531,64,2101.790001943227,40,24,204505512,204545136,0.9087983965873718,204545137,204545137,204545137,0,0.9554299712181091,32512,54,False,54,4381.0,2187.0,1432.0,754.0,2109.0,323.0,811.0,1,5,15,1,5,15,945.0,41.0,28.0,46.0,32.0,4384.0,4417.0,37.0,754.0,152.0
41,payload_failed,False,209472154,209470588,209429963,0.2716086804866791,64,2189.3322832689582,40,24,209497552,209537176,0.7642070055007935,209537177,209537177,209537177,0,0.8275882005691528,32512,54,False,0,13901.0,2219.0,1457.0,762.0,2112.0,295.0,813.0,1,5,15,1,5,15,10147.0,41.0,27.0,359.0,22.0,13905.0,13928.0,38.0,9914.0,193.0
42,success,True,214464208,214462588,214421963,0.28695905208587646,64,1713.6099819604706,40,24,214489607,214529231,0.8615644574165344,214529232,214529232,214529232,0,0.9557881355285645,32512,54,False,54,4558.0,2288.0,1583.0,705.0,2102.0,316.0,833.0,1,5,15,1,5,15,1020.0,41.0,10.0,50.0,25.0,4562.0,4587.0,39.0,825.0,154.0
43,success,True,219456235,219454588,219413963,0.3025202751159668,64,1868.005592688485,40,24,219481634,219521258,0.870273232460022,219521259,219521259,219521259,0,0.9559958577156067,32512,54,False,54,4355.0,2148.0,1438.0,710.0,2224.0,295.0,827.0,1,5,15,1,5,15,981.0,41.0,10.0,53.0,27.0,4360.0,4388.0,37.0,791.0,152.0
44,success,True,224448225,224446588,224405963,0.2947719991207123,64,1744.0507857561147,40,24,224473624,224513248,0.8185542225837708,224513249,224513249,224513249,0,0.956290066242218,32512,54,False,54,5463.0,2185.0,1473.0,712.0,2102.0,895.0,868.0,1,5,15,1,5,15,1406.0,51.0,12.0,46.0,56.0,5469.0,5525.0,41.0,1004.0,358.0
45,success,True,229440306,229438588,229397963,0.31198498606681824,64,1829.7782283131291,40,24,229465705,229505329,0.8904398679733276,229505330,229505330,229505330,0,0.9564995169639587,32512,54,False,54,4358.0,2170.0,1418.0,751.0,2158.0,297.0,807.0,1,5,15,1,5,15,977.0,42.0,11.0,54.0,25.0,4361.0,4386.0,38.0,781.0,156.0
46,success,True,234432327,234430588,234389963,0.29200008511543274,64,1318.8357875218885,40,24,234457726,234497350,0.8341063857078552,234497351,234497351,234497351,0,0.9560021162033081,32512,54,False,54,4324.0,2130.0,1443.0,687.0,2298.0,291.0,835.0,1,5,15,1,5,15,959.0,41.0,21.0,47.0,29.0,4329.0,4359.0,37.0,761.0,160.0
47,success,True,239424421,239422588,239381963,0.3001311123371124,64,2097.4509249989896,40,24,239449820,239489444,0.8564202785491943,239489445,239489445,239489445,0,0.9565186500549316,32512,54,False,54,4393.0,2222.0,1440.0,781.0,2087.0,291.0,816.0,1,5,15,1,5,15,946.0,41.0,11.0,66.0,25.0,4396.0,4422.0,37.0,753.0,155.0
48,success,True,244416448,244414588,244373963,0.32992199063301086,64,1762.2446366804552,40,24,244441847,244481471,0.9059934020042419,244481472,244481472,244481472,0,0.956539511680603,32512,54,False,54,4262.0,2090.0,1388.0,701.0,2119.0,293.0,808.0,1,5,15,1,5,15,959.0,41.0,10.0,61.0,28.0,4265.0,4293.0,36.0,770.0,151.0
